date,bid
2-Jul-22,693.95
3-Jul-22,693.95
4-Jul-22,693.95
5-Jul-22,694.44
6-Jul-22,694.78
7-Jul-22,695.26
8-Jul-22,694.19
9-Jul-22,692.68
10-Jul-22,692.68
11-Jul-22,692.68
12-Jul-22,690.67
13-Jul-22,688.98
14-Jul-22,687.28
15-Jul-22,684.96
16-Jul-22,683.75
17-Jul-22,683.75
18-Jul-22,683.75
19-Jul-22,681.82
